Bird Dog,10,"<p> </p>
<p> </p>
<p>This is a great exercise for patients who DON’T suffer from lumbar disc injuries…  this exercise is great when you are looking to strengthen the low back.   </p>
<p> </p>
<p>Get on all fours, knees behind the hips.  Engager the Kegel muscles (the muscles you use to stop peeing) and raise your opposite arm and leg, while maintaining the contraction of the Kegel muscles.  If at any time you cannot maintain the muscle contraction, begin over.   Perform this exercise for at least 10 times per side, increasing the number as you get stronger.  </p>
<p> </p>
<p> </p> Another Description is : <p> </p>
<p>Kneel on floor with your hands placed about shoulder width apart.</p>
<p> </p>
<p>Point one arm out straight in front and extend the opposite leg to the rear. The shoulders and the hips should be parallel.</p>
<p> </p>
<p>Hold for 10 seconds and return to ground position.</p>
<p> </p>
<p>Start with 5 reps on alternate hands and knees, 10  in total. Add up to 3 sets of 10.</p>
<p> </p>
<p>As a variation, you can do several bird dogs with one side and then do a set with just the other side.</p>
<p> </p>
<p>Keep the abs engaged while you change sides. Work to minimize any extra motion during the weight shift.</p>
<p> </p>",1
Body Squats,9,"<p>6 Second Reps Max 15 Reps</p>
<p>6 Second Reps Max 15 Reps</p>",
Body-Ups,8,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>",7
Bodyweight Squats,9,"<p> </p>
<p>Bodyweight Squats are a simple exercise that requires no equipment what soever (Though there are variants that add weights).</p>
<p> </p>
<ol>
<li>
<p>Setup by standing up straight and placing your feet slightly further then shoulder width apart with your feet pointing slightly outwards. Hold your arms straight out infront.</p>
</li>
<li>
<p>'squat' down leading with your hips as if you are going to sit down on a chair, untill your hip is parallel with or lower then your knees. While doing this you should keep your back straight and your body weight should be towards the back of your feet. Your knees shouldn't should end up behind your toes. If they are in front of them you are not leading the squat with your hips and will have the wrong posture.</p>
</li>
<li>
<p>Stand back up and repeat as necessary.</p>
</li>
</ol>
<p> </p>
<p> </p>
<p>Holding your arms straight out in front of you will help you keep the correct posture through out the exercise. It's also helpful in maintaining posture to choose a point on the wall to focus on.</p>
<p></p>
<p></p>",7
Boulder Circuit,8,"<p>Create a circuit on an overhanging bouldering wall. The circuit should be between 20 and 60 moves depending on the type of climb you are training for. The difficulty should be at a level that you are failing near the end or only just finishing the circuit on your final lap. Ideally the moves are sustained (so no hard crux, unless that is specific to your goal climb) and on similar style of holds to your goal climb.</p>",
Braced Squat,9,"<p>Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can.</p>
<p>Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back.</p>
<p>Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.</p>",
Bulgarian Split Squat,9,<p>Rest back foot on an elevated surface with sole pointing up. keep your weight over your front leg as you lower yourself</p>,
Butterfly,11,"<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",
Butterfly Narrow Grip,11,"<p>The movement is the same as with a regular butterfly, only that the grip is narrow:</p>
<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",
Cable Chopper - High-to-Low,12,<p>This is a variant of the twisting Low-to-High Cable Chopper. </p>,
Cable Cross-over,11,"<p>Begin with cables at about shoulder height, one in each hand. Take a step forward so that one foot is in front of the other, for stability, and so that there is tension on the cables. Bring hands together in front of you. Try to make your hands overlap (so that the cables cross) a few inches.</p>",
Cable External Rotation,13,"<p>Steps:</p>
<ol>
<li>Start off placing an extension band around a post or in a secure position where it will not release and is at elbow level.</li>
<li>Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle.</li>
<li>Bring the band to your chest keeping your elbow bent in a 90 degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out</li>
<li>Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position.</li>
<li>Repeat for as many reps and sets as desired.</li>
</ol>",
Cable Pushdown (with Rope Attachment),8,"
Face high pulley and grasp rope attachment with clinched hands side by side (palms in). Position elbows to side.


Extend arms down. Turn palms down at bottom. Return until forearm is close to upper arm and hands are in original position. Repeat.
",
Cable Shrug,13,<p>Standard shoulder shrug using the cable system.</p>,
Cable Woodchoppers,10,"<p>Set cable pulley slightly lower than chest height. Keep body facing forward with hips stable.  Grab the pulley handle, fully extend your arms and bring your arms forward and across your body. Hold for 1 second at the end of the movement and slowly return to starting position.</p>",
Calf Press Using Leg Press Machine,14,"<p>Put  the balls of your feet on an extended leg press pad.  Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position.</p>
<p>This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise.</p>",
Calf Raises,14,"Calf raises are a method of exercising the gastrocnemius, tibialis posterior and soleus muscles of the lower leg. The movement performed is plantar flexion, a.k.a. ankle extension.","3,10"
Calf Raises on Hackenschmitt Machine,14,"<p>Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down.</p>
<p>With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat.</p>",
Car Push,14,<p>Place car in neutral (with partner to apply breaks if necessary) and drive with legs to push car</p>,
Chair Steps,9,"1. Stand facing a chair
2. Step up onto the chair
3. Step off the chair4. Repeat
",
Chin Up,12,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.",6
Chin Ups,12,<p>Pull up</p>,
"Circuit - Pullups, Pushups, Crunches, Air Squats",9,"<p>Circuit of the 4 exercises</p>
<ol>
<li>Pullups x 20 (assisted if needed)</li>
<li>Pushups x 30</li>
<li>Crunches x 40</li>
<li>Air Squats x 50</li>
</ol>
<p>Repeat entire circuit 5 times with a 3 min break in between each set</p>",
Close-grip Bench Press,8,"<p>Perform a typical bench press, but hold the bar with your hands approximately shoulder-width apart and keep your elbows close to your body.</p>","1,8"
Close-grip Lat Pull Down,12,"<p>Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion.</p>",
Controlled Bench,11,<p>block/spacer betweet the chest and barbel when going down.  touch block and exploed up.</p>,
Cross-Bench Dumbbell Pullovers,11,"<p>Grasp a moderately weighted dumbbell so your palms are flat against the underside of the top plates and your thumbs are around the bar. Lie on your back across a flat bench so only your upper back and shoulders are in contact with the bench. Your feet should be set about shoulder-width apart and your head should hang slightly downward. With the dumbbell supported at arm's length directly about your chest, bend your arms about 15 degrees and keep them bent throughout the movement. Slowly lower the dumbbell backward and downward in a semicircle arc to as low a position as is comfortably possible. Raise it slowly back along the same arc to the starting point, and repeat for the required number of repetitions.</p>",
Crossover Reverse Lunge,9,"<p>Start standing up, put one leg in front of you so you stand on your knee. Twist your core to the same side as your knee. Repeat with the other leg</p>",7
Crunch,10,"The crunch is one of the most popular abdominal exercises. It involves the entire abs, but primarily it works the rectus abdominis muscle and also works the obliques. It allows both building six-pack abs, and tightening the belly. Another Description is : <p>This is performed while lying face up on the floor with knees bent, by curling the shoulders up towards the pelvis. This is an isolation exercise for the abdominals.</p>",4
Crunches,10,"<p>Lay down on your back a soft surface, the feet are on the floor. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.</p>","8,4"
Crunches on Machine,10,"<p>The procedure is very similar as for regular crunches, only with the additional weight of the machine. Sit on the machine, put both feet firmly on the ground. Grab the to the weights, cables, etc. and do a rolling motion forwards (the spine should ideally lose touch vertebra by vertebra). Slowly return to the starting position. </p>",
Crunches With Cable,10,"<p>Take the cable on your hands and hold it next to your temples. Knee down and hold your upper body straight and bend forward. Go down with a fast movement, rolling your back in (your ellbows point to your knees). Once down, go slowly back to the initial position.</p>",
Crunches With Legs Up,10,"<p>On your back, legs extended straight up, reach toward your toes with your hands and lift your shoulder blades off the ground and back.</p>",
Curl Ups,10,<p>Get some rock hard abs. Gains for life fam. Get some rock hard abs. Gains for life fam.</p>,"4,9"
Cycling,9,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. People engaged in cycling are referred to as cyclists, bicyclists, or bikers. Apart from two-wheeled bicycles, cycling also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles.",7
Deadlifts,12,"<p>Stand firmly, with your feet slightly more than shoulder wide apart. Stand directly behind the bar where it should barely touch your shin, your feet pointing a bit out. Bend down with a straight back, the knees also pointing somewhat out. Grab the bar with a shoulder wide grip, one underhand, one reverse grip.</p>
<p>Pull the weight up. At the highest point make a slight hollow back and pull the bar back. Hold 1 or 2 seconds that position. Go down, making sure the back is not bent. Once down you can either go back again as soon as the weights touch the floor, or make a pause, depending on the weight.</p>",1
Decline Bench Press Barbell,11,"<p>Lay down on a decline bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>",1
Decline Bench Press Dumbbell,11,"<p>Take two dumbbells and sit on a decline bench, the feet are firmly on the floor, the head is resting the bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",3
Decline Press Sit-Up,10,"<ol>
<li>Lie down on a bench with a barbell resting on your chest. Position your legs so they are secure on the extension of the abdominal bench.</li>
<li>While inhaling, tighten your abdominals and glutes. Simultaneously curl your torso as you do when performing a sit-up and press the barbell to an overhead position while exhaling. </li>
<li>Lower your upper body back down to the starting position while bringing the barbell back down to your torso. Remember to breathe in while lowering the body.</li>
</ol>
<p>Caution: It is best to have a spotter while performing this exercise so that it is easier to get the barbell and also get rid of it. Also, always start with an empty bar and do not use jerking motions at any time.</p>
<p> </p>
<p>Reference: http://www.bodybuilding.com/exercises/detail/view/name/press-sit-up</p>","1,8"
Decline Pushups,11,"<p>With your feet raised approximately 30cm on a platform, align your shoulders, elbows and hands, then perform regular pushups. This emphasises the clavicular fibers of the pectoralis major.</p>",7
Deficit Deadlift,12,"<p>Preparation</p>
<p>Stand on weight plate, bumper plate, or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.</p>
<p> </p>
<p>Execution</p>
<p>Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.</p>
<p> </p>
<p>Comments</p>
<p>Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip. Lever barbell jack can be used to lift barbell from floor for easier loading and unloading of weight plates.</p>
<p>Barbell Deficit Deadlift emphasizes building strength through lowest portion of Deadlift. Target muscle is exercised isometrically. Heavy barbell deadlifts significantly engages Latissmus Dorsi. See Barbell Deficit Deadlift under Gluteus Maximus. Also see Deadlift Analysis.</p>",1
Diagonal Shoulder Press,13,"<p>You sit at the bench press device, back slightly tilted to the back. The bar should be about 20 cm in front of you. Then you push the bar and take it back again, as you would with a bench press.</p>
<p>In this position you strain your chest muscles a lot less, which is nice if you want to train, but your chest hasn't recovered yet.</p>
<p>Here's a link to a girl on a machine specialized for this exercise, to give a better description than my failing words above.</p>
<p>http://www.schnell-online.de/db_imgs/products/img/t-80400.jpg</p>",8
Dips,8,"<p>Hold onto the bars at a narrow place (if they are not parallel) and press yourself up, but don't stretch the arms completely, so the muscles stay during the whole exercise under tension. Now bend the arms and go down as much as you can, keeping the elbows always pointing back, At this point, you can make a short pause before repeating the movement.</p> Another Description is : A dip is an upper-body strength exercise. Narrow, shoulder-width dips primarily train the triceps, with major synergists being the anterior deltoid, the pectoralis muscles (sternal, clavicular, and minor), and the rhomboid muscles of the back (in that order).[1] Wide arm training places additional emphasis on the pectoral muscles, similar in respect to the way a wide grip bench press would focus more on the pectorals and less on the triceps.",
Dips Between Two Benches,8,"<p>Put two benches so far appart, that you can hold onto one with your hands and are just able to reach the other with your feet. The legs stay during the exercise completely stretched. With your elbows facing back, bend them as much as you can. Push yourself up, but don't stretch out the arms.</p>",8
Duck Walks,8,<p>Grab kettlebell and walk while holding it between legs</p>,3
Dumbbell Concentration Curl,8,<p>Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.</p>,3
Dumbbell Lunges Walking,9,"<p>Take two dumbbells in your hands, stand straight, feet about shoulder wide. Take one long step so that the front knee is approximately forming a right angle. The back leg is streched, the knee is low but doesn't touch the ground. ""Complete"" the step by standing up and repeat the movement with the other leg.</p>",3
Dumbbell Spider Curl,8,<p>Keep your arms at a dead hang in front of you.Contract your biceps as you curl the dumbbells up towards your torso.Squeeze at the top of the repetition for one second.Lower the dumbbells in a slow and controlled manner until fully extended.Repeat for the desired number of repetitions.</p>,3
Dumbbell Split Squat,9,<p>Split Squats with Dumbbells: http://www.bodybuilding.com/exercises/detail/view/name/split-squat-with-dumbbells</p>,3
Dumbell Pullover,12,"<p>Dumbell pullovers work the lats and serratus, slightly on teh pectorals</p>","8,3"
Dumbell Romanian Deadlift,9,<p>Romanian Deadlifts with dumbells in each hands instead of a barbell.</p>,3
Dumbell Row,12,"<p>Bent over dumbell row, leaning on bench</p>",3
Elliptical,9,<p>Full body cardio work out that predominantly works the lower body but does do a lite upper body workout.</p>,
Farmers Walks,8,"<p>Grab dumbbells and walk</p>
<p> </p>",3
Fire Hydrant,9,"1. Position yourself on all fours with shoulders wide apart and palms flat.
<p>2. Keep your knees, hip wide apart and bend them at a 90-degrees angle.3. Keep your back straight, raise your right thigh and bring it close to your chest as much as you can.4. Then raise the same thigh out to the side by keeping the hips still.5. Now, kick your raised leg slowly in the backward position.6. Now perform these steps with your left leg.</p>",7
Flat Bench Squeezes,11,<p>Lie down on a flat bench and hold a dumbbell with both your hands and perform a squeeze </p>,"8,3"
Flutter Kicks,10,"<p>-Laying on the back, lift your straightened legs from the ground at a 45 degree angle. </p>
<p>-As your Left foot travels downward and nearly touches the floor, your Right foot should seek to reach a 90 degree angle, or as close to one as possible.</p>
<p>-Bring your R foot down until it nearly touches the floor, and bring your L foot upwards.  Maintain leg rigidity throughout the exercise.  Your head should stay off the ground, supported by tightened upper abdominals.</p>
<p>-(L up R down, L down R up, x2)  ^v, v^, ^v, v^ = 1 rep</p>
<p>-Primarily works the Rectus Abdominus, the hip flexors and the lower back. Secondarily works the Obliques.  Emphasis placed on the lower quadrant of the abs.</p>
<p> </p>",
Flys,11,"A fly or flye is a strength training exercise in which the hand and arm move through an arc while the elbow is kept at a constant angle. Flies are used to work the muscles of the upper body. Because these exercises use the arms as levers at their longest possible length, the amount of weight that can be moved is significantly less than equivalent press exercises for the same muscles.",3
Fly With Dumbbells,11,"<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",3
"Fly With Dumbbells, Decline Bench",11,"<p>The exercise is the same as with a regular bench:</p>
<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",3
Forearm Curl,8,<p>Works the wrist flexor muscles on the front of the forearms.</p>,3
French Press (skullcrusher) Dumbbells,8,"<p>Hold the dumbbells and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch your arms with the weights and bend them so that the dumbbells are lowered (make sure they don't touch each other). Just before they touch your forehead, push them up.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>","8,3"
French Press (skullcrusher) SZ-bar,8,"<p>Hold the SZ-bar and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch your arms with the bar and bend them so that the bar is lowered. Just before it touches your forehead, push it up.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>","8,2"
Front Raises,13,"<p>To execute the exercise, the lifter stands with their feet shoulder width apart and weights or resistance handles held by their side with a pronated (overhand) grip.</p>
<p>The movement is to bring the arms up in front of the body to eye level and with only a slight bend in the elbow. This isolates the anterior deltoid muscle (front of the shoulder) and uses the anterior deltoid to lift the weight.</p>
<p>When lifting it is important to keep the body still so the anterior deltoid is fully utilised; if the weight cannot be lifted by standing still then it is too heavy and a lower weight is needed. It is important to keep a slight bend in the elbow when lifting as keeping the elbow locked will add stress to the elbow joint and could cause injury.</p>
<p>A neutral grip, similar to that used in the hammer curl, can also be used. With this variation the weight is again raised to eye level, but out to a 45 degree angle from the front of the body. This may be beneficial for those with shoulder injuries, particularly those related to the rotator cuff.</p>","1,3"
Full Sit Outs,10,"<p>(A) Get in high plank position on your hands and toes.(B) Shift your weight to your left hand as you turn your body to the right; bend your right leg behind you and extend your right arm up. Return to the center and repeat on the opposite side. Continue, alternating sides.<strong>Make it easier:</strong> Don’t raise your arm after you bend your leg behind you.<strong>Make it harder:</strong> Balance with your arm and leg extended for two counts.</p>",7
Glute,12,<p>Glute machine</p>,
